,precision,recall,f1-score,support
1.0,0.4520139071109945,0.4381179462724527,0.4449574608914647,31455.0
2.0,0.7647058823529411,0.0009421996738539591,0.001882080422744218,27595.0
3.0,0.4502480054587445,0.9126635812320459,0.6030104390003866,75192.0
4.0,0.7435897435897436,0.001413393118237645,0.002821423359439607,20518.0
5.0,0.4989339019189765,0.009982083439979524,0.01957258165697796,23442.0
6.0,0.8181818181818182,0.03609187021509296,0.0691340782122905,5486.0
accuracy,0.45127063281215973,0.45127063281215973,0.45127063281215973,0.45127063281215973
macro avg,0.6212788764355365,0.23320184565861046,0.1902296772572173,183688.0
weighted avg,0.5477588772291283,0.45127063281215973,0.3281957114655732,183688.0
