,precision,recall,f1-score,support
1.0,0.45166099497650297,0.44304562072802417,0.44731182795698926,31455.0
2.0,0.32903225806451614,0.001848160898713535,0.0036756756756756758,27595.0
3.0,0.45213348829486966,0.9054154697308224,0.6030996558398704,75192.0
4.0,0.5224719101123596,0.0045326055171069305,0.008987243911867027,20518.0
5.0,0.42449969678593086,0.029860933367460114,0.055796899286596785,23442.0
6.0,0.6739130434782609,0.03390448414145097,0.06456091634849011,5486.0
accuracy,0.45210356691781717,0.45210356691781717,0.45210356691781717,0.45210356691781717
macro avg,0.47561856528540664,0.23643454573059633,0.19723870316991485,183688.0
weighted avg,0.4445132535081605,0.45210356691781717,0.3340798827975524,183688.0
