,precision,recall,f1-score,support
1.0,0.6558734051835955,0.8841519631219202,0.7530937745403341,31455.0
2.0,0.6711775619338645,0.2228664613154557,0.33462103487676154,27595.0
3.0,0.6853457493341628,0.937692839663794,0.7919020609872522,75192.0
4.0,0.9503559933677947,0.4749000877278487,0.6333235838939261,20518.0
5.0,0.8526111350884765,0.6741745584847709,0.7529658392491305,23442.0
6.0,0.9802197802197802,0.08129784907036092,0.1501430735566403,5486.0
accuracy,0.7102369234789425,0.7102369234789425,0.7102369234789425,0.7102369234789425
macro avg,0.799263937521279,0.5458472932306918,0.5693415611840075,183688.0
weighted avg,0.7379249628745457,0.7102369234789425,0.6747113328300669,183688.0
