,precision,recall,f1-score,support
1.0,0.7339104954714971,0.8758861866158003,0.7986375824335097,31455.0
2.0,0.6326331443442699,0.49331400616053633,0.5543542442937716,27595.0
3.0,0.8114794715913898,0.8929274390892649,0.8502573908858932,75192.0
4.0,0.8703342074429504,0.760259284530656,0.8115813844593013,20518.0
5.0,0.8659932347898615,0.7972442624349458,0.830197898851698,23442.0
6.0,0.8232090490155006,0.3581844695588771,0.49917439349676107,5486.0
accuracy,0.7869757414746744,0.7869757414746744,0.7869757414746744,0.7869757414746744
macro avg,0.7895932671092449,0.6963026080650133,0.7240338157368225,183688.0
weighted avg,0.7852101726966012,0.7869757414746744,0.7795996525421661,183688.0
